CapacityRatio;ShareFlex;ShareStorage;ShareWind;SharePV;rNTC;Sum 3;Congestion_[h];PeakLoad_[MW];MaxCurtailment_[MW];MaxLoadShedding_[MW];Demand_[TWh];NetImports_[TWh];Curtailment_[TWh];Shedding_[MWh];LostLoad_[TWh];MaxRESGeneration_[TWh];CurtailmentToRESGeneration_[%];TotalGeneration_[TWh];ShareResGeneration_[%];MaxLoadSheddingShare_[%];CF_gas;CF_nuc;CF_wat;CF_win;CF_sun;GAMS_error
0,406036161;0,903567258;1,007245291;0,171468126;0,315617279;0,460431841;0,893121566;47158.0;440929.4124966354;0.1473713768872876;73717.37162179843;2843.1224748846435;0.0;9.083823443396248;32720907.798529744;2.793497088264071;1271.361064033662;0.7144959603038257;514.1149509519933;0.0002472912063108584;0.0;0.13923936019214544;0.171095641845563;0.02956819720008937;0.05440807124245107;0.02003596647329678;1
0,686899152;0,82897807;0,544793295;0,179406416;0,303744592;0,367938952;1,17005016;126451.0;440929.4124966354;0.19484177440356346;10025.733915389224;2843.1224748846435;0.0;34.7538420099649;1751340.3587695973;0.058832858210143536;1272.3511431113825;2.731466246415163;1417.2719610301233;8.977466415031543e-05;0.0;0.24675400281389442;0.44923110664966087;0.06067993648950907;0.12223196316298018;0.05186640530234222;1
1,224393157;0,498144541;0,883976406;0,463773289;0,345695883;0,273589985;2,033862329;330127.0;440929.4124966354;0.6849670656412576;0.0;2843.1224748846435;0.0;978.9769316311033;0.0;-1.1368683772161604e-17;2670.5068654903657;36.65884346832941;3063.798499264057;8.716326697502586e-05;0.0;0.04750373205143326;0.30650176003225543;0.25229164162048245;0.1299099673823617;0.0999341954187693;1
1,060956103;0,368321422;2,074921782;0,404201947;0,34094954;0,481864298;1,80610759;308351.0;440929.4124966354;0.504845486676474;0.0;2843.1224748846435;0.0;623.8532012241952;0.0;0.0;2389.3982699641383;26.109217917595565;3133.286065528325;7.625854199052347e-05;0.0;0.0316269763410505;0.32638286410675665;0.2638707644342165;0.15924774921077567;0.10992215558237041;1
1,083929526;0,339202114;1,964788747;0,364508217;0,307247094;0,655575939;1,755684837;292995.0;440929.4124966354;0.4087475614030877;0.0;2843.1224748846435;0.0;350.89730016798563;0.0;0.0;2113.0240852840807;16.606403240349724;3127.068159108536;6.757205080833483e-05;0.0;0.025598890268567612;0.3501247008672436;0.26357596586204995;0.1859523676175733;0.12080823124662851;1
0,555624429;0,72716571;1,50523435;0,521339829;0,179019217;0,300805018;1,255983475;324192.0;440929.4124966354;0.5168880193340775;7188.849490901384;2843.1224748846435;0.0;816.4908082793758;4045970.7484045895;0.04500345014619646;2442.689833717305;33.42588964874159;3033.2329262534645;8.053090194871463e-05;0.0;0.3384986251714538;0.7129123616776815;0.25241678293280634;0.13868567190371045;0.12353021508960534;1
1,297525708;0,484998704;2,299482732;0,304313019;0,066030193;0,291094259;1,66786892;310014.0;440929.4124966354;0.17533800372641697;0.0;2843.1224748846435;0.0;107.2045377861872;0.0;0.0;1139.4834369166435;9.40816990515234;2973.6619816525554;3.8319198481442657e-05;0.0;0.08547919348405547;0.6277672071076145;0.25686617827257197;0.21113884041892145;0.13185747372009332;1
0,831152878;0,565218006;1,420822181;0,383440451;0,161342933;0,334379949;1,375936263;321256.0;440929.4124966354;0.3070470904325966;0.0;2843.1224748846435;0.0;327.7411941860971;0.0;0.0;1772.4545054374619;18.490809957641584;3019.0819853487997;5.870839261864852e-05;0.0;0.16011090474535114;0.6617870327217533;0.2548796333144906;0.17923490141782436;0.12877470807538144;1
1,043520791;0,278968921;2,61393738;0,414697831;0,083551645;0,350607253;1,541770267;302603.0;440929.4124966354;0.32001916437523337;0.0;2843.1224748846435;0.0;388.32027841467163;0.0;-5.45696821063757e-19;1685.8232479829173;23.034459803499313;2990.7149054509164;5.636857076916003e-05;0.0;0.07906920935239933;0.46692354298209954;0.25164331787486693;0.17294971053362615;0.12944451382663008;1
1,166637001;0,25414021;1,780590341;0,432094373;0,269747963;0,280999382;1,868479338;327034.0;440929.4124966354;0.46197608234485016;0.0;2843.1224748846435;0.0;734.6215072736633;0.0;0.0;2306.888128980354;31.844695806656496;3055.357033107071;7.550306245664587e-05;0.0;0.06325036211856887;0.3123073232636044;0.24876016000973847;0.14023808117620487;0.11057211600325771;1
