CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Indic
0.7537813142226804,0.2715531030477046,0.8758476541460157,0.3556167445031435,0.1606788975762526,0.1836524741940117,1
0.5787417981245646,0.493152035484671,2.7553973213443546,0.4947395365604166,0.1139935844848276,0.1187487112067837,0
1.2676691750551514,0.753980133855346,2.758605104910913,0.4568908846076782,0.2817794573226457,0.1304524973791125,1
1.168673801227699,0.5131353941797967,0.672457725320198,0.1314254596877677,0.0565977851483154,0.1099614105467781,0
0.780586555641853,0.5583107224804231,2.8958604411116284,0.3914048142959189,0.1833627335296876,0.2880712144282319,1
0.5686552209108813,0.622806302974062,2.208518742055685,0.1716779096443505,0.2125728022290134,0.0820895498751186,0
1.0987794898408123,0.3083770474472141,1.4188846484229511,0.1189128231762444,0.2564893201507266,0.0061511930280374,0
1.2765100565974117,0.2718580712492151,2.517623575618672,0.0125129144493236,0.1853002517020754,0.72584348607382,1
0.7404930348136525,0.8134136214743481,1.3056342443085986,0.4002572449853535,0.2449993648660955,0.1012538067564222,0
1.05132660570156,0.6732077892119561,2.4300251295666664,0.3971622402300624,0.1658091130439798,0.5385707351013025,1
0.897423491635943,0.6619376614624004,0.0286191970035991,0.5318373592733298,0.3399305090615381,0.2414096832266679,1
1.2169932833182435,0.4364155262361945,2.1567705245351614,0.2299807485815967,0.1311354759997375,0.0066755520608795,0
1.0222347304048045,0.6429274861687617,1.102012120040529,0.3682184988375819,0.3354783276184285,0.0038351375784069,0
1.2560686354601445,0.4888469861471316,1.20511021906996,0.3105415965016474,0.2293959924192227,0.2606130048161525,1
1.0483881005779634,0.3479248273906524,1.953949240328953,0.1840053177188994,0.2070023471305369,0.3994812257437392,1
1.2062667202868416,0.2570905204263402,1.3260463583872797,0.3445097607002465,0.1343914517422006,0.7489408701298959,1
0.670176192195113,0.570373903780311,2.6167709798489267,0.4913978995750964,0.3048832327353797,0.0757800061029062,0
0.8147596445301053,0.3717368883345401,1.2272162325584834,0.3978768996455971,0.2443742676138685,0.0155991793842034,0
1.2459256939818777,0.3629476362870261,0.0686378386354357,0.0571100488779429,0.0103350924020606,0.6724752513469041,1
1.0707381399941371,0.2556322038856482,0.8299808547537517,0.0591269997662602,0.2368102212045456,0.1762158083228908,1
1.1790610960293284,0.806754218364302,2.482537385827312,0.2783191157656006,0.0463496596049153,0.2600962015843036,1
