CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Cost_[E/MWh],Congestion_[h],PeakLoad_[MW],MaxCurtailment_[MW],MaxLoadShedding_[MW],Demand_[TWh],NetImports_[TWh],Curtailment_[TWh],Shedding_[MWh],LostLoad_[TWh],MaxRESGeneration_[TWh],CurtailmentToRESGeneration_[%],TotalGeneration_[TWh],ShareResGeneration_[%],MaxLoadSheddingShare_[%],CF_gas,CF_nuc,CF_wat,CF_win,CF_sun,GAMS_error
0.7537813142226804,0.2715531030477046,0.8758476541460157,0.3556167445031435,0.1606788975762526,0.1836524741940117,95.00297093431901,342232.0,440929.4124966354,0.265669196237698,0.0,2843.1224748846435,0.0,253.71068914169712,0.0,0.0,1443.951726471378,17.57057971471778,2988.8457841630943,4.831134928815668e-05,0.0,0.2032401524411795,0.6893475601117941,0.24789713444527411,0.17717873168875387,0.12933134388016254,1
0.5787417981245646,0.493152035484671,2.7553973213443546,0.4947395365604166,0.1139935844848276,0.1187487112067837,706.1109439797016,367563.0,440929.4124966354,0.38922464781183896,27315.901570159527,2843.1224748846435,0.0,440.92432654613606,24924761.4214029,1.961310651423571,1644.7282757376927,26.808338681255595,2999.698390462848,5.482978825360886e-05,0.0,0.45499566216464704,0.8259488491683978,0.2440894579432444,0.15752006732485027,0.12809831765633886,0
1.2676691750551514,0.753980133855346,2.758605104910913,0.4568908846076782,0.2817794573226457,0.1304524973791125,90.06228391095601,372673.0,440929.4124966354,0.41201411157331197,0.0,2843.1224748846435,0.0,583.5043153550332,0.0,-4.468765495174674e-15,2042.3902786031979,28.569677473890792,3089.038329582469,6.611734982515606e-05,0.0,0.11364448524332785,0.6397070275565642,0.2458162415087263,0.145467222895882,0.11263044699945492,1
1.168673801227699,0.5131353941797967,0.672457725320198,0.1314254596877677,0.0565977851483154,0.1099614105467781,92.62482556246422,356327.0,440929.4124966354,0.05457517057506373,0.0,2843.1224748846435,0.0,15.746924088669953,0.0,-4.547473508864641e-19,597.4671505562717,2.6356133678661298,2909.707990484343,2.0533577682371443e-05,0.0,0.19502494575893575,0.8401152991910342,0.24293340430908672,0.23212482475073362,0.13278860622488903,0
0.780586555641853,0.5583107224804231,2.8958604411116284,0.3914048142959189,0.1833627335296876,0.2880712144282319,95.00726252153454,330987.0,440929.4124966354,0.3070976598071823,0.0,2843.1224748846435,0.0,264.78524551507365,0.0,0.0,1596.7775224910642,16.582475754167277,3060.6146552379932,5.2171792347602764e-05,0.0,0.20116592072866873,0.7953637447388745,0.2579880032954616,0.18146780461979098,0.12927937145163335,1
0.5686552209108813,0.622806302974062,2.208518742055685,0.1716779096443505,0.2125728022290134,0.0820895498751186,521.8392716532451,378544.0,440929.4124966354,0.16105187311091465,31125.91712157034,2843.1224748846435,0.0,54.88800583403321,27021332.686574172,1.3649042515975611,1149.829770408088,4.773576684708104,3068.697141816706,3.746963995695499e-05,0.0,0.5121486258907542,0.9538394550983778,0.25036983193259665,0.22180952437422594,0.13109729999374536,0
1.0987794898408123,0.3083770474472141,1.4188846484229511,0.1189128231762444,0.2564893201507266,0.0061511930280374,88.81897114589901,408904.0,440929.4124966354,0.24810066865775787,0.0,2843.1224748846435,0.0,125.37500885327889,0.0,-6.821210263296962e-19,1150.119586177609,10.90104110564357,3077.6228039022426,3.7370388103419495e-05,0.0,0.14549006955512567,0.5920080389190021,0.23258935064548616,0.21330781772202828,0.12015710066812768,0
1.2765100565974117,0.2718580712492151,2.517623575618672,0.0125129144493236,0.1853002517020754,0.72584348607382,84.14910421713581,258290.0,440929.4124966354,0.010812822327454095,0.0,2843.1224748846435,0.0,0.05419449455233373,0.0,0.0,684.8272880794884,0.00791360033335052,2980.0147355414774,2.29806678440821e-05,0.0,0.03335430659063375,0.8861801410580791,0.25828445411286416,0.2448384012070046,0.1344369896352167,1
0.7404930348136525,0.8134136214743481,1.3056342443085986,0.4002572449853535,0.2449993648660955,0.1012538067564222,97.17329911792237,369413.0,440929.4124966354,0.3476976985145922,0.0,2843.1224748846435,0.0,402.2077449357041,0.0,-7.287827566369632e-16,1797.9709137472817,22.37009185523662,3076.435973779217,5.8443306770287906e-05,0.0,0.322632531305328,0.9156691532510844,0.2430877297733276,0.160625521777809,0.12162426991862815,0
1.05132660570156,0.6732077892119561,2.4300251295666664,0.3971622402300624,0.1658091130439798,0.5385707351013025,91.49383387247316,283032.0,440929.4124966354,0.27649904844029755,0.0,2843.1224748846435,0.0,192.68891454575638,0.0,-1.3090034756041686e-15,1559.5281961882913,12.35559030075349,3040.427547405425,5.129305572563728e-05,0.0,0.09626025701582958,0.8416967245928624,0.25922994582419234,0.1982815462377646,0.13153385050370262,1
0.897423491635943,0.6619376614624004,0.0286191970035991,0.5318373592733298,0.3399305090615381,0.2414096832266679,93.41041372375123,326538.0,440929.4124966354,0.5768008339077437,0.0,2843.1224748846435,0.0,892.0049210580187,0.0,0.0,2393.4850805415745,37.268037653954565,2916.5887829877456,8.206453698589949e-05,0.0,0.1634829748927495,0.6502422576375281,0.2682369403766506,0.12796687922124264,0.09684990003051856,1
1.2169932833182435,0.4364155262361945,2.1567705245351614,0.2299807485815967,0.1311354759997375,0.0066755520608795,89.32625780456051,407479.0,440929.4124966354,0.18107708791001503,847.2216272697472,2843.1224748846435,0.0,121.88304446391238,1656.1772929329402,0.0,1053.5271277940176,11.569046610040647,3004.4221617106173,3.50658819263327e-05,0.0,0.15216251301530304,0.6044419134679857,0.22974942664396075,0.19952257415513155,0.12885841487777405,0
